REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select household characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207852,25.4.13.1,866000,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207852,25.4.13.1,857000,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207858,25.4.14.1,638800,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207858,25.4.14.1,665300,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207858,25.4.14.1,663100,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207864,25.4.15.1,391900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207864,25.4.15.1,461400,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207864,25.4.15.1,489800,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207870,25.4.16.1,3389500,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207870,25.4.16.1,3407200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207870,25.4.16.1,3394900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207876,25.4.17.1,2095900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207876,25.4.17.1,1878200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207876,25.4.17.1,1979200,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207882,25.4.18.1,1289000,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207882,25.4.18.1,1511200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207882,25.4.18.1,1401200,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, visible minority status",Number of households,Number,223,units,0,v1595207888,25.4.19.1,3389400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, visible minority status",Number of households,Number,223,units,0,v1595207888,25.4.19.1,3407300,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, visible minority status",Number of households,Number,223,units,0,v1595207888,25.4.19.1,3394900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Belongs to a visible minority group,Number of households,Number,223,units,0,v1595207900,25.4.20.1,704000,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Belongs to a visible minority group,Number of households,Number,223,units,0,v1595207900,25.4.20.1,799600,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Belongs to a visible minority group,Number of households,Number,223,units,0,v1595207900,25.4.20.1,874800,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Does not belong to a visible minority group,Number of households,Number,223,units,0,v1595207906,25.4.21.1,2655900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Does not belong to a visible minority group,Number of households,Number,223,units,0,v1595207906,25.4.21.1,2594500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Does not belong to a visible minority group,Number of households,Number,223,units,0,v1595207906,25.4.21.1,2483400,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, difficulty meeting financial needs",Number of households,Number,223,units,0,v1595207912,25.4.22.1,3389400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, difficulty meeting financial needs",Number of households,Number,223,units,0,v1595207912,25.4.22.1,3407300,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, difficulty meeting financial needs",Number of households,Number,223,units,0,v1595207912,25.4.22.1,3394900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Very difficult to meet financial needs,Number of households,Number,223,units,0,v1595207918,25.4.23.1,124300,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Very difficult to meet financial needs,Number of households,Number,223,units,0,v1595207918,25.4.23.1,134000,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Very difficult to meet financial needs,Number of households,Number,223,units,0,v1595207918,25.4.23.1,210200,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Difficult to meet financial needs,Number of households,Number,223,units,0,v1595207924,25.4.24.1,468400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Difficult to meet financial needs,Number of households,Number,223,units,0,v1595207924,25.4.24.1,487900,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Difficult to meet financial needs,Number of households,Number,223,units,0,v1595207924,25.4.24.1,656500,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neither difficult nor easy to meet financial needs,Number of households,Number,223,units,0,v1595207930,25.4.25.1,1474100,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neither difficult nor easy to meet financial needs,Number of households,Number,223,units,0,v1595207930,25.4.25.1,1477500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Neither difficult nor easy to meet financial needs,Number of households,Number,223,units,0,v1595207930,25.4.25.1,1549600,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Easy to meet financial needs,Number of households,Number,223,units,0,v1595207936,25.4.26.1,876400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Easy to meet financial needs,Number of households,Number,223,units,0,v1595207936,25.4.26.1,780900,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Easy to meet financial needs,Number of households,Number,223,units,0,v1595207936,25.4.26.1,681000,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Very easy to meet financial needs,Number of households,Number,223,units,0,v1595207942,25.4.27.1,428600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Very easy to meet financial needs,Number of households,Number,223,units,0,v1595207942,25.4.27.1,524500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Very easy to meet financial needs,Number of households,Number,223,units,0,v1595207942,25.4.27.1,296600,,,,0
2018,Ontario,2021A000235,Renter,"Total, household type",Number of households,Number,223,units,0,v1595207990,25.5.1.1,1632700,,,,0
2021,Ontario,2021A000235,Renter,"Total, household type",Number of households,Number,223,units,0,v1595207990,25.5.1.1,1754300,,,,0
